url,latitude,longitude,rating_1,rating_2,rating_3,rating_4,rating_5
https://www.tripadvisor.com/Attraction_Review-g294265-d1452075-Reviews-Mint_Museum_of_Toys-Singapore.html,1.296183,103.85449,15,17,61,93,82
https://www.tripadvisor.com/Attraction_Review-g294265-d2139528-Reviews-Marina_Square-Singapore.html,1.285801,103.85111,1,13,70,129,55
https://www.tripadvisor.com/Attraction_Review-g294265-d2139475-Reviews-313_somerset-Singapore.html,1.301158,103.83853,1,8,45,134,69
https://www.tripadvisor.com/Attraction_Review-g294265-d640944-Reviews-Katong_District-Singapore.html,1.3074,103.9074,3,5,48,115,79
https://www.tripadvisor.com/Attraction_Review-g294265-d446422-Reviews-Singapore_Philatelic_Museum-Singapore.html,1.285801,103.85111,0,7,37,110,91
https://www.tripadvisor.com/Attraction_Review-g294265-d3512810-Reviews-The_Pinnacle_Duxton-Singapore.html,1.285801,103.85111,4,6,25,72,137
https://www.tripadvisor.com/Attraction_Review-g294265-d1937005-Reviews-Red_Dot_Design_Museum-Singapore.html,1.280222,103.85633,9,23,55,92,55
https://www.tripadvisor.com/Attraction_Review-g294265-d3460002-Reviews-Robertson_Quay-Singapore.html,1.29115,103.84199,1,2,25,124,77
https://www.tripadvisor.com/Attraction_Review-g294265-d2547770-Reviews-Bukit_Brown_Cemetery-Singapore.html,1.33506,103.82007,2,0,12,64,140
https://www.tripadvisor.com/Attraction_Review-g294265-d2139508-Reviews-Funan-Singapore.html,1.291339,103.85015,12,7,47,101,38
https://www.tripadvisor.com/Attraction_Review-g294265-d1419989-Reviews-Suntec_Singapore_Convention_Exhibition_Centre-Singapore.html,1.292947,103.857956,4,8,41,81,69
https://www.tripadvisor.com/Attraction_Review-g294265-d2344142-Reviews-Labrador_Nature_Reserve-Singapore.html,1.27051,103.80166,0,3,27,101,71
https://www.tripadvisor.com/Attraction_Review-g294265-d6686692-Reviews-Alive_Museum-Singapore.html,1.294935,103.859665,10,15,44,75,51
https://www.tripadvisor.com/Attraction_Review-g294265-d9977571-Reviews-Satay_Street-Singapore.html,1.280311,103.8504,5,10,18,70,86
https://www.tripadvisor.com/Attraction_Review-g294265-d386878-Reviews-Kuan_Yin_Thong_Hood_Cho_Temple-Singapore.html,1.285801,103.85111,1,0,32,86,61
https://www.tripadvisor.com/Attraction_Review-g294265-d1583427-Reviews-Surviving_the_Japanese_Occupation_War_and_Its_Legacies-Singapore.html,1.352803,103.76925,3,3,21,64,84
https://www.tripadvisor.com/Attraction_Review-g294265-d2139551-Reviews-Ngee_Ann_City-Singapore.html,1.302838,103.83556,0,3,38,81,49
https://www.tripadvisor.com/Attraction_Review-g294265-d6844331-Reviews-Marina_Bay_Cruise_Centre-Singapore.html,1.26696,103.85991,15,12,33,58,48
https://www.tripadvisor.com/Attraction_Review-g294265-d1371240-Reviews-Malay_Heritage_Centre-Singapore.html,1.285801,103.85111,3,2,48,67,46
